Seedling_ID,ID2,Elev,Genotype,Micro,Needle_age,Prev_trmt,Trmt_2,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
12,b,low,k,inoc,old,high,heat,3,Jul/05/2025,11:27:57,97,260,357,0.728,2.68
13,a,low,k,uninoc,new,high,heat,3,Jul/05/2025,11:28:07,197,514,711,0.722,2.609
13,b,low,k,uninoc,old,high,heat,3,Jul/05/2025,11:28:15,183,445,628,0.708,2.431
14,a,low,k,inoc,new,high,heat,3,Jul/05/2025,11:28:34,236,325,561,0.579,1.377
14,b,low,k,inoc,old,high,heat,3,Jul/05/2025,11:28:45,124,515,639,0.805,4.153
15,a,low,k,uninoc,new,high,heat,3,Jul/05/2025,11:28:55,145,305,450,0.677,2.103
15,b,low,k,uninoc,old,high,heat,3,Jul/05/2025,11:29:04,97,319,416,0.766,3.288
16,a,high,i,inoc,new,high,heat,3,Jul/05/2025,11:29:19,229,703,932,0.754,3.069
16,b,high,i,inoc,old,high,heat,3,Jul/05/2025,11:29:32,102,526,628,0.837,5.156
17,a,low,k,uninoc,new,high,heat,3,Jul/05/2025,11:29:42,211,366,577,0.634,1.734
17,b,low,k,uninoc,old,high,heat,3,Jul/05/2025,11:29:55,205,414,619,0.668,2.019
18,a,high,g,uninoc,new,high,heat,3,Jul/05/2025,11:30:04,42,93,135,0.688,2.214
18,b,high,g,uninoc,old,high,heat,3,Jul/05/2025,11:30:19,106,346,452,0.765,3.264
19,a,low,h,inoc,new,high,heat,3,Jul/05/2025,11:30:32,207,357,564,0.632,1.724
19,b,low,h,inoc,old,high,heat,3,Jul/05/2025,11:30:45,96,198,294,0.673,2.062
20,a,high,g,uninoc,old,mod,heat,3,Jul/05/2025,11:31:01,243,627,870,0.72,2.58
20,b,high,g,uninoc,old,mod,heat,3,Jul/05/2025,11:31:11,85,291,376,0.773,3.423
21,a,high,h,uninoc,old,mod,heat,3,Jul/05/2025,11:31:21,290,736,1026,0.717,2.537
21,b,high,h,uninoc,old,mod,heat,3,Jul/05/2025,11:31:30,144,476,620,0.767,3.305
22,a,high,h,inoc,new,mod,heat,3,Jul/05/2025,11:31:43,175,480,655,0.732,2.742
22,b,high,h,inoc,old,mod,heat,3,Jul/05/2025,11:31:53,293,1042,1335,0.78,3.556
23,a,high,j,uninoc,new,mod,heat,3,Jul/05/2025,11:32:04,178,519,697,0.744,2.915
23,b,high,j,uninoc,old,mod,heat,3,Jul/05/2025,11:32:15,225,786,1011,0.777,3.493
24,a,high,i,inoc,new,mod,heat,3,Jul/05/2025,11:32:25,352,910,1262,0.721,2.585
24,b,high,i,inoc,new,mod,heat,3,Jul/05/2025,11:32:35,204,742,946,0.784,3.637
