Seedling_ID,Elev,Genotype,Micro,Needle_age,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
14,low,k,inoc,old,40,Jun/23/2025,17:10:45,173,445,618,0.72,2.572
15,low,k,uninoc,new,40,Jun/23/2025,17:11:00,497,579,1076,0.538,1.164
15,low,k,uninoc,old,40,Jun/23/2025,17:11:08,185,378,563,0.671,2.043
16,high,i,inoc,new,40,Jun/23/2025,17:11:20,322,894,1216,0.735,2.776
16,high,i,inoc,old,40,Jun/23/2025,17:11:31,259,655,914,0.716,2.528
17,low,k,uninoc,new,40,Jun/23/2025,17:11:41,510,572,1082,0.528,1.121
17,low,k,uninoc,old,40,Jun/23/2025,17:11:49,239,574,813,0.706,2.401
18,high,g,uninoc,new,40,Jun/23/2025,17:12:01,364,651,1015,0.641,1.788
18,high,g,uninoc,old,40,Jun/23/2025,17:12:10,187,506,693,0.73,2.705
19,low,h,inoc,new,40,Jun/23/2025,17:12:20,383,560,943,0.593,1.462
19,low,h,inoc,old,40,Jun/23/2025,17:12:31,446,570,1016,0.561,1.278
20,high,g,uninoc,old,40,Jun/23/2025,17:12:44,241,612,853,0.717,2.539
20,high,g,uninoc,old,40,Jun/23/2025,17:12:53,122,268,390,0.687,2.196
21,high,h,uninoc,old,40,Jun/23/2025,17:13:03,311,639,950,0.672,2.054
21,high,h,uninoc,old,40,Jun/23/2025,17:13:13,232,605,837,0.722,2.607
22,high,h,inoc,new,40,Jun/23/2025,17:13:24,456,797,1253,0.636,1.747
22,high,h,inoc,old,40,Jun/23/2025,17:13:34,296,662,958,0.691,2.236
23,high,j,uninoc,new,40,Jun/23/2025,17:13:42,346,758,1104,0.686,2.19
23,high,j,uninoc,old,40,Jun/23/2025,17:13:51,253,727,980,0.741,2.873
24,high,i,inoc,new,40,Jun/23/2025,17:14:05,360,556,916,0.606,1.544
24,high,i,inoc,new,40,Jun/23/2025,17:14:17,270,501,771,0.649,1.855
25,high,h,uninoc,new,40,Jun/23/2025,17:14:28,432,415,847,0.489,0.96
25,high,h,uninoc,old,40,Jun/23/2025,17:14:38,216,382,598,0.638,1.768
26,low,k,uninoc,new,40,Jun/23/2025,17:14:48,429,569,998,0.57,1.326
26,low,k,uninoc,old,40,Jun/23/2025,17:14:58,257,601,858,0.7,2.338
27,high,i,uninoc,new,40,Jun/23/2025,17:15:07,351,564,915,0.616,1.606
27,high,i,uninoc,old,40,Jun/23/2025,17:15:15,60,144,204,0.705,2.4
28,low,k,inoc,new,40,Jun/23/2025,17:15:25,312,401,713,0.562,1.285
28,low,k,inoc,old,40,Jun/23/2025,17:15:34,432,550,982,0.56,1.273
29,low,k,uninoc,new,40,Jun/23/2025,17:15:44,355,424,779,0.544,1.194
29,low,k,uninoc,old,40,Jun/23/2025,17:15:52,318,786,1104,0.711,2.471
30,low,k,uninoc,new,40,Jun/23/2025,17:16:01,473,485,958,0.506,1.025
30,low,k,uninoc,old,40,Jun/23/2025,17:16:11,272,576,848,0.679,2.117
31,low,k,uninoc,new,40,Jun/23/2025,17:16:26,353,516,869,0.593,1.461
31,low,k,uninoc,old,40,Jun/23/2025,17:16:36,229,358,587,0.609,1.563
32,low,k,uninoc,new,40,Jun/23/2025,17:16:45,229,408,637,0.64,1.781
32,low,k,uninoc,old,40,Jun/23/2025,17:16:53,452,906,1358,0.667,2.004
33,low,l,inoc,new,40,Jun/23/2025,17:17:02,408,383,791,0.484,0.938
33,low,l,inoc,old,40,Jun/23/2025,17:17:12,167,187,354,0.528,1.119
34,high,j,uninoc,old,40,Jun/23/2025,17:17:26,253,299,552,0.541,1.181
34,high,j,uninoc,old,40,Jun/23/2025,17:17:35,350,584,934,0.625,1.668
35,low,k,uninoc,new,40,Jun/23/2025,17:17:44,433,642,1075,0.597,1.482
35,low,k,uninoc,old,40,Jun/23/2025,17:17:54,338,826,1164,0.709,2.443
36,high,g,uninoc,new,40,Jun/23/2025,17:18:06,310,464,774,0.599,1.496
36,high,g,uninoc,old,40,Jun/23/2025,17:18:17,375,807,1182,0.682,2.152
37,low,k,uninoc,new,40,Jun/23/2025,17:18:28,240,335,575,0.582,1.395
37,low,k,uninoc,old,40,Jun/23/2025,17:18:40,210,561,771,0.727,2.671
1,high,g,uninoc,old,45,Jun/24/2025,12:33:32,413,248,661,0.375,0.6
1,high,g,uninoc,old,45,Jun/24/2025,12:33:43,502,325,827,0.392,0.647
2,high,h,inoc,new,45,Jun/24/2025,12:33:54,1018,221,1239,0.178,0.217
2,high,h,inoc,new,45,Jun/24/2025,12:34:06,523,449,972,0.461,0.858
3,low,k,uninoc,old,45,Jun/24/2025,12:34:15,516,611,1127,0.542,1.184
3,low,k,uninoc,old,45,Jun/24/2025,12:34:23,430,702,1132,0.62,1.632
4,low,k,uninoc,new,45,Jun/24/2025,12:34:37,437,527,964,0.546,1.205
4,low,k,uninoc,old,45,Jun/24/2025,12:34:45,487,412,899,0.458,0.845
5,high,g,uninoc,new,45,Jun/24/2025,12:34:55,441,495,936,0.528,1.122
5,high,g,uninoc,old,45,Jun/24/2025,12:35:07,348,886,1234,0.717,2.545
