Sample Number,Seedling_ID,Elev,Genotype,Micro,Needle_age,Prev_trmt,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
22,21,high,h,uninoc,old,mod,rec2,Jul/07/2025,13:15:20,126,328,454,0.722,2.603
23,22,high,h,inoc,new,mod,rec2,Jul/07/2025,13:15:29,121,179,300,0.596,1.479
24,22,high,h,inoc,old,mod,rec2,Jul/07/2025,13:15:39,254,691,945,0.731,2.72
25,23,high,j,uninoc,new,mod,rec2,Jul/07/2025,13:15:48,196,428,624,0.685,2.183
26,23,high,j,uninoc,old,mod,rec2,Jul/07/2025,13:15:57,142,452,594,0.76,3.183
27,24,high,i,inoc,new,mod,rec2,Jul/07/2025,13:16:06,256,594,850,0.698,2.32
28,24,high,i,inoc,new,mod,rec2,Jul/07/2025,13:16:14,187,517,704,0.734,2.764
29,25,high,h,uninoc,new,mod,rec2,Jul/07/2025,13:16:22,295,284,579,0.49,0.962
30,25,high,h,uninoc,old,mod,rec2,Jul/07/2025,13:16:32,96,100,196,0.51,1.041
31,26,low,k,uninoc,new,mod,rec2,Jul/07/2025,13:16:46,252,256,508,0.503,1.015
32,26,low,k,uninoc,old,mod,rec2,Jul/07/2025,13:16:54,163,518,681,0.76,3.177
33,27,high,i,uninoc,new,mod,rec2,Jul/07/2025,13:17:03,200,492,692,0.71,2.46
34,27,high,i,uninoc,old,mod,rec2,Jul/07/2025,13:17:11,238,340,578,0.588,1.428
35,28,low,k,inoc,new,mod,rec2,Jul/07/2025,13:17:23,214,261,475,0.549,1.219
36,28,low,k,inoc,old,mod,rec2,Jul/07/2025,13:17:31,259,258,517,0.499,0.996
37,48,low,k,uninoc,new,control,rec2,Jul/07/2025,13:17:40,303,458,761,0.601,1.511
38,48,low,k,uninoc,old,control,rec2,Jul/07/2025,13:17:53,225,628,853,0.736,2.791
39,49,low,k,inoc,new,control,rec2,Jul/07/2025,13:18:02,452,351,803,0.437,0.776
40,49,low,k,inoc,old,control,rec2,Jul/07/2025,13:18:10,330,627,957,0.655,1.9
41,50,low,k,uninoc,new,control,rec2,Jul/07/2025,13:18:23,177,218,395,0.551,1.231
42,50,low,k,uninoc,old,control,rec2,Jul/07/2025,13:18:33,184,242,426,0.568,1.315
43,51,high,i,inoc,new,control,rec2,Jul/07/2025,13:18:43,244,461,705,0.653,1.889
44,51,high,i,inoc,old,control,rec2,Jul/07/2025,13:18:53,139,592,731,0.809,4.258
45,52,low,k,uninoc,old,control,rec2,Jul/07/2025,13:19:03,230,218,448,0.486,0.947
46,52,low,k,uninoc,old,control,rec2,Jul/07/2025,13:19:12,240,770,1010,0.762,3.208
47,53,low,k,uninoc,new,control,rec2,Jul/07/2025,13:19:20,184,453,637,0.711,2.461
48,53,low,k,uninoc,old,control,rec2,Jul/07/2025,13:19:29,124,345,469,0.735,2.782
49,54,high,g,uninoc,new,control,rec2,Jul/07/2025,13:19:39,359,482,841,0.573,1.342
50,54,high,g,uninoc,old,control,rec2,Jul/07/2025,13:19:49,268,417,685,0.608,1.555
51,55,high,h,uninoc,new,control,rec2,Jul/07/2025,13:19:59,276,336,612,0.549,1.217
52,55,high,h,uninoc,old,control,rec2,Jul/07/2025,13:20:10,221,710,931,0.762,3.212
53,56,low,m,inoc,old,control,rec2,Jul/07/2025,13:20:22,196,427,623,0.685,2.178
54,56,low,m,inoc,old,control,rec2,Jul/07/2025,13:20:31,177,335,512,0.654,1.892
55,57,high,g,uninoc,old,control,rec2,Jul/07/2025,13:20:40,232,83,315,0.263,0.357
56,57,high,g,uninoc,old,control,rec2,Jul/07/2025,13:20:48,201,252,453,0.556,1.253
